,Unnamed: 0,Unnamed: 0.1,ADDRESS,CITY,COMPENSATION,CONTRIBUTIONS,EIN,EXPENSES,FIPS,FULL_ADDRESS,Level1,NAME,NTEECC,PROGREVENUE,REVENUE,STATE,STREET_ADDRESS,SUBDISCIPLINE,ZIP,ZIP5,nteeFinal,LAT,LONG,TITLE_NAME
13,13,10057,35 30 FARRINGTON ST 2ND FLR,FLUSHING,0,166200,113212678,138535,36081.0,35 30 FARRINGTON ST FLUSHING NY 11354-2827,,KOREAN AMERICAN NAIL SALON ASSOC OF NEW YORK INC,A23,0.0,166200,NY,35 30 FARRINGTON ST,Cultural & Ethnic Awareness,11354-2827,11354.0,A23,,,Korean American Nail Salon Association of New York Inc.
14,14,10059,1324 FLATBUSH AVE,BROOKLYN,0,0,113216404,74942,36047.0,1324 FLATBUSH AVE BROOKLYN NY 11210-1233,,CARIBBEAN CUP INC,A23,63630.0,63630,NY,1324 FLATBUSH AVE,Cultural & Ethnic Awareness,11210-1233,11210.0,A23,40.6378826,-73.95337625,Caribbean Cup Inc.
15,15,10071,8101 FURMANVILLE AVE,MIDDLE VLG,0,4140,113238845,22055,36081.0,8101 FURMANVILLE AVE MIDDLE VLG NY 11379-2315,,A I A QUEENS INC,A40,13996.0,21108,NY,8101 FURMANVILLE AVE,Visual Arts,11379-2315,11379.0,A40,,,a I a Queens Inc.
16,16,10084,45 03 37TH ST,LONG IS CITY,0,0,113261970,66642,36081.0,45 03 37TH ST LONG IS CITY NY 11101-1801,,KOREAN AIR CONDITIONING AND REFRIGERATION ASSOCIATION OF NEW,A23,74675.0,74675,NY,45 03 37TH ST,Cultural & Ethnic Awareness,11101-1801,11101.0,A23,,,Korean Air Conditioning and Refrigeration Association of New
17,17,10093,150 BEEKMAN ST FL 3,NEW YORK,0,42441,113278319,56162,36061.0,150 BEEKMAN ST NEW YORK NY 10038-2015,,KOREAN SEAFOOD ASSOCIATION OF NEW YORK INC,A23,0.0,42441,NY,150 BEEKMAN ST,Cultural & Ethnic Awareness,10038-2015,10038.0,A23,40.70698705,-74.002390464714,Korean Seafood Association of New York Inc.
18,18,10150,200 MADISON AVENUE,NEW YORK,96000,0,113395787,120162,36061.0,200 MADISON AVENUE NEW YORK NY 10016-3903,,MEDICAL ADVERTISING HALL OF FAME INC,A50,71970.0,102709,NY,200 MADISON AVENUE,Museums,10016-3903,10016.0,A50,40.748885200000004,-73.9827039003413,Medical Advertising Hall of Fame Inc.
19,19,10195,2227 33RD ST,ASTORIA,0,2010,113477797,55953,36081.0,2227 33RD ST ASTORIA NY 11105-2402,,SYLLOGOS KRETON MINOS INC,A23,6880.0,53619,NY,2227 33RD ST,Cultural & Ethnic Awareness,11105-2402,11105.0,A23,40.7698433,-73.916771,Syllogos Kreton Minos Inc.
20,20,10527,125 BARCLAY ST,NEW YORK CITY,0,0,116042353,95483,36061.0,125 BARCLAY ST NEW YORK CITY NY 10007-2233,,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,106400.0,106679,NY,125 BARCLAY ST,Museums,10007-2233,10007.0,A50,40.714347700000005,-74.01301509999999,American Federation of State County & Municipal Employees
21,21,10572,10916 JAMAICA AVE,RICHMOND HILL,143772,0,116102176,194509,36081.0,10916 JAMAICA AVE RICHMOND HILL NY 11418-2334,,NATIONAL ASSOCIATION OF LETTER CARRIERS,A23,202471.0,202471,NY,10916 JAMAICA AVE,Cultural & Ethnic Awareness,11418-2334,11418.0,A23,40.699692399999996,-73.8321223,National Association of Letter Carriers
22,22,10647,432 PARK AVE S FL 6,NEW YORK,2716438,0,130417765,5352751,36061.0,432 PARK AVE S NEW YORK NY 10016-8013,,ADVERTISING RESEARCH FOUNDATION INC,A03,5302040.0,5517172,NY,432 PARK AVE S,Professional Societies & Associations,10016-8013,10016.0,A03,40.744215600000004,-73.9836536,Advertising Research Foundation Inc.
23,23,10677,50 E 42ND ST,NEW YORK,0,0,130453215,132071,36061.0,50 E 42ND ST NEW YORK NY 10017-5405,,PAINTING & DECORATING CONTRACTORS OF AMERICA,A40,114888.0,189732,NY,50 E 42ND ST,Visual Arts,10017-5405,10017.0,A40,40.7525361,-73.9790574,Painting & Decorating Contractors of America
24,24,10737,31 W 15TH ST,NEW YORK,625,0,130876693,12995,36061.0,31 W 15TH ST NEW YORK NY 10011-6849,,UNITED ITALIAN AMERICAN LABOR COUNCIL INC,A23,3780.0,8836,NY,31 W 15TH ST,Cultural & Ethnic Awareness,10011-6849,10011.0,A23,40.7431323,-74.0084454,United Italian American Labor Council Inc.
25,25,10749,6 E 87TH ST,NEW YORK,155017,173500,130971750,244382,36061.0,6 E 87TH ST NEW YORK NY 10128-0505,,LIEDERKRANZ OF THE CITY OF NEW YORK,A6A,77521.0,253361,NY,6 E 87TH ST,Opera,10128-0505,10128.0,A6A,40.778551,-73.95124799999999,Liederkranz of the City of New York
26,26,10791,299 BROADWAY 226,NEW YORK,41634,0,131101367,191535,36061.0,299 BROADWAY NEW YORK NY 10007-1901,,NEW YORK SOCIETY OF ARCHITECTS,A03,153677.0,154984,NY,299 BROADWAY,Professional Societies & Associations,10007-1901,10007.0,A03,40.715001,-74.0058329,New York Society of Architects
27,27,10831,980 AVE OF AMERICAS 3RD FLR,NEW YORK,4900,0,131374145,45633,36061.0,980 AVE OF AMERICAS NEW YORK NY 10018-0000,,TEXTILE DISTRIBUTORS ASSOCIATION INC,A40,20500.0,32910,NY,980 AVE OF AMERICAS,Visual Arts,10018-0000,10018.0,A40,40.751309899999995,-73.98642790000001,Textile Distributors Association Inc.
28,28,10871,536 LAGUARDIA PL,NEW YORK,758765,0,131505524,2473366,36061.0,536 LAGUARDIA PL NEW YORK NY 10012-1401,,AMERICAN INSTITUTE OF ARCHITECTS,A40,839413.0,3065491,NY,536 LAGUARDIA PL,Visual Arts,10012-1401,10012.0,A40,40.7284321903634,-73.9987806079963,American Institute of Architects
29,29,10914,1230 AVE OF THE AMERICAS 7THFL,NEW YORK,106608,130496,131589984,220155,36061.0,1230 AVE OF THE AMERICAS NEW YORK NY 10020-1513,,WOOLMARK AMERICAS INC,A60,131529.0,262885,NY,1230 AVE OF THE AMERICAS,Performing Arts,10020-1513,10020.0,A60,40.75893370000001,-73.9808983,Woolmark Americas Inc.
30,30,11112,326 W 48TH ST,NYC,0,0,131769475,32450,36061.0,326 W 48TH ST NYC NY 10036-1314,,THEATRICAL MUTUAL ASSOCIATION NEW YORK LODGE-1,A65,2150.0,5514,NY,326 W 48TH ST,Theater,10036-1314,10036.0,A65,40.76133105,-73.98829892896771,Theatrical Mutual Association New York Lodge-1
31,31,11261,505 E 79TH ST,NEW YORK,18806,0,131956457,415224,36061.0,505 E 79TH ST NEW YORK NY 10021-0709,,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,A50,384195.0,395606,NY,505 E 79TH ST,Museums,10021-0709,10021.0,A50,40.7714021,-73.9504368,American Federation of State County & Municipal Employees
32,32,11317,45 W 14TH ST,NEW YORK,0,0,132534897,221678,36061.0,45 W 14TH ST NEW YORK NY 10011-7419,,PAINTING INDUSTRY FUND BUILDING CORP,A40,175046.0,175140,NY,45 W 14TH ST,Visual Arts,10011-7419,10011.0,A40,40.737016,-73.9956108,Painting Industry Fund Building Corp.
33,33,11511,485 BROADWAY STE FL 5,NEW YORK,0,89535,132857251,150852,36061.0,485 BROADWAY STE NEW YORK NY 10013-0000,,DECORATIVE FABRICS ASSOCIATION INC,A40,0.0,91617,NY,485 BROADWAY STE,Visual Arts,10013-0000,10013.0,A40,40.62931210000001,-74.11586616450221,Decorative Fabrics Association Inc.
34,34,11652,430 E 57TH ST,NEW YORK,0,0,132989680,93448,36061.0,430 E 57TH ST NEW YORK NY 10022-3061,,DINNER DANCERS INC,A62,96350.0,96385,NY,430 E 57TH ST,Dance,10022-3061,10022.0,A62,40.75759165,-73.961929649792,Dinner Dancers Inc.
35,35,11654,243 5TH AVE STE 236,NEW YORK,0,0,132990527,120321,36061.0,243 5TH AVE NEW YORK NY 10016-8703,,MUSIC PUBLISHERS ASSOCIATION OF THE UNITED STATES INC,A68,92945.0,96848,NY,243 5TH AVE,Music,10016-8703,10016.0,A68,40.7442273,-73.9867585,Music Publishers Association of the United States Inc.
36,36,11806,27 W 20TH ST STE 601,NEW YORK,7350,0,133131629,104782,36061.0,27 W 20TH ST NEW YORK NY 10011-3728,,ADVERTISING PHOTOGRAPHER OF AMERICA INC,A40,91234.0,91343,NY,27 W 20TH ST,Visual Arts,10011-3728,10011.0,A40,40.7434266,-73.9998517,Advertising Photographer of America Inc.
37,37,11812,3625 BAINBRIDGE AVE,BRONX,0,0,133132781,0,36005.0,3625 BAINBRIDGE AVE BRONX NY 10467-1168,,3680 HOLDING COMPANY INC,A60,0.0,0,NY,3625 BAINBRIDGE AVE,Performing Arts,10467-1168,10467.0,A60,40.885237909411295,-73.8777879600377,3680 Holding Company Inc.
38,38,11830,146-02 89TH AVE,JAMAICA,5940,0,133154895,9260,36081.0,146-02 89TH AVE JAMAICA NY 11435-3638,,INDIAN DENTAL ASSOCIATION USA INC,A23,1325.0,19,NY,146-02 89TH AVE,Cultural & Ethnic Awareness,11435-3638,11435.0,A23,40.7035384,-73.80941949999999,Indian Dental Association USA Inc.
39,39,11856,420 LEXINGTON AVE RM 2034,NEW YORK,76576,0,133183002,397789,36061.0,420 LEXINGTON AVE NEW YORK NY 10170-0012,,ARAB BANKERS ASSOCIATION OF NORTH AMERICA INC,A23,490117.0,503785,NY,420 LEXINGTON AVE,Cultural & Ethnic Awareness,10170-0012,10170.0,A23,40.688204799999994,-73.9443976303818,Arab Bankers Association of North America Inc.
40,40,11896,56 W 45TH ST STE 705,NEW YORK,32950,0,133211019,439278,36061.0,56 W 45TH ST NEW YORK NY 10036-4215,,INDIAN DIAMOND & COLORSTONE ASSOC INC,A23,450325.0,470956,NY,56 W 45TH ST,Cultural & Ethnic Awareness,10036-4215,10036.0,A23,40.756142,-73.9818767173633,Indian Diamond & Colorstone Association Inc.
41,41,11936,90 JOHN ST RM 403,NEW YORK,0,0,133251595,33247,36061.0,90 JOHN ST NEW YORK NY 10038-3242,,GRAPHIC ARTISTS GUILD OF NEW YORK,A40,36857.0,36870,NY,90 JOHN ST,Visual Arts,10038-3242,10038.0,A40,40.7079924,-74.0063203,Graphic Artists Guild of New York
42,42,11960,201 E 17TH ST APT 28J,NEW YORK,0,25979,133302569,33830,36061.0,201 E 17TH ST NEW YORK NY 10003-3681,,NEW YORK DIVISION ELECTRIC RAILROADERS ASSOCIATION,A54,32095.0,58240,NY,201 E 17TH ST,History Museums,10003-3681,10003.0,A54,40.735227,-73.98536440000001,New York Division Electric Railroaders Association
43,43,11979,60 E 42ND ST RM 1341,NEW YORK,0,0,133341914,198191,36061.0,60 E 42ND ST NEW YORK NY 10165-1341,,GRUPPO ESPONENTI ITALIANI INC,A23,226428.0,228224,NY,60 E 42ND ST,Cultural & Ethnic Awareness,10165-1341,10165.0,A23,40.7523028,-73.9784305,Gruppo Esponenti Italiani Inc.
44,44,11991,3333 HENRY HUDSON PKWY,BRONX,0,1556,133358453,39130,36005.0,3333 HENRY HUDSON PKWY BRONX NY 10463-3224,,U S S INTREPID ASSOCIATION INC,A12,40692.0,42735,NY,3333 HENRY HUDSON PKWY,Fund Raising & Fund Distribution,10463-3224,10463.0,A12,40.8800573,-73.918883,U S S Intrepid Association Inc.
45,45,11994,3 METROTECH CENTER,BROOKLYN,4000,0,133364852,290558,36047.0,3 METROTECH CENTER BROOKLYN NY 11245-0001,,CORNING GLASS WORKS LTD SALARIED EMPLOYEES,A40,203564.0,227679,NY,3 METROTECH CENTER,Visual Arts,11245-0001,11245.0,A40,,,Corning Glass Works Ltd Salaried Employees
46,46,12020,165 W 46TH ST,NEW YORK,0,0,133398825,0,36061.0,165 W 46TH ST NEW YORK NY 10036-2501,,ACTORS EQUITY HOLDING CORPORATION,A65,0.0,623798,NY,165 W 46TH ST,Theater,10036-2501,10036.0,A65,40.75843,-73.9844645,Actors Equity Holding Corporation
47,47,12035,90 ELIZABETH ST,NEW YORK,0,0,133418616,373481,36061.0,90 ELIZABETH ST NEW YORK NY 10013-5566,,CHINESE WEN CHOW ASSOCIATION INC,A23,15960.0,368850,NY,90 ELIZABETH ST,Cultural & Ethnic Awareness,10013-5566,10013.0,A23,40.7182412,-73.99565926561891,Chinese Wen Chow Association Inc.
48,48,12070,79 BAYARD ST 2/FL,NEW YORK,0,0,133471375,3849,36061.0,79 BAYARD ST NEW YORK NY 10013-4806,,NEW YORK CHINESE AMERICAN BANKERS ASSOCIATION INC,A23,33750.0,19421,NY,79 BAYARD ST,Cultural & Ethnic Awareness,10013-4806,10013.0,A23,40.715633200000006,-73.99874270000001,New York Chinese American Bankers Association Inc.
49,49,12097,470 PARK AVE S FRNT 2,NEW YORK,22250,0,133498699,66503,36061.0,470 PARK AVE S FRNT NEW YORK NY 10016-6819,,GLOBAL PUBLIC AFFAIRS INSTITUTE INC,A01,30500.0,30198,NY,470 PARK AVE S FRNT,Alliances & Advocacy,10016-6819,10016.0,A01,,,Global Public Affairs Institute Inc.
50,50,12108,13 E 16TH ST FL 6,NEW YORK,285006,0,133506309,812322,36061.0,13 E 16TH ST NEW YORK NY 10003-3114,,UNITED STATES ASSOCIATION OF IMPORTERS OF TEXTILES AND APPAREL,A40,390363.0,737816,NY,13 E 16TH ST,Visual Arts,10003-3114,10003.0,A40,40.7371018,-73.9915551856737,United States Association of Importers of Textiles and Apparel
51,51,12124,LOCAL,NEW YORK,1000,0,133520340,50550,36061.0,LOCAL NEW YORK NY 10001-0000,,GRUPPO RISTORATORI ITALIANI INC,A23,49991.0,50032,NY,LOCAL,Cultural & Ethnic Awareness,10001-0000,10001.0,A23,40.7515081,-73.9934608,Gruppo Ristoratori Italiani Inc.
52,52,12163,PO BOX 872,NEW YORK,0,0,133568008,31959,36061.0,,,PRIVATE ART DEALERS ASSOCIATION INC,A03,30550.0,31025,NY,,Professional Societies & Associations,10021-0002,10021.0,A03,,,Private Art Dealers Association Inc.
53,53,12200,522 FIFTH AVE,NEW YORK,0,0,133597634,2273582,36061.0,522 FIFTH AVE NEW YORK NY 10036-7601,,TREMONT LAND HOLDING COMPANY INC,A60,5383607.0,9825107,NY,522 FIFTH AVE,Performing Arts,10036-7601,10036.0,A60,42.7976632,-73.9527343,Tremont Land Holding Company Inc.
54,54,12284,545 8TH AVENUE 12FL,NEW YORK,0,0,133670200,78034,36061.0,545 8TH AVENUE NEW YORK NY 10018-4307,,KOREAN APPAREL MANUFACTURES ASSOC OF GREATER NEW YORK INC,A23,70965.0,70965,NY,545 8TH AVENUE,Cultural & Ethnic Awareness,10018-4307,10018.0,A23,40.754498100000006,-73.99219388901379,Korean Apparel Manufactures Association of Greater New York Inc.
55,55,12315,245 PARK AVE,NEW YORK,0,0,133698552,3440000,36061.0,245 PARK AVE NEW YORK NY 10167-0002,,QUEENRHIS FUNDING COMPANY,A60,0.0,3440000,NY,245 PARK AVE,Performing Arts,10167-0002,10167.0,A60,40.7546124,-73.97467189558441,Queenrhis Funding Company
56,56,12381,PO BOX 757,NEW YORK,0,0,133761506,67717,36061.0,,,GUITAR AND ACCESSORIES MARKETING ASSOCIATION INC,A68,70250.0,48542,NY,,Music,10033-0595,10033.0,A68,,,Guitar and Accessories Marketing Association Inc.
57,57,12394,322 8TH AVE FL 21,NEWYORK,0,60070,133772271,85873,36061.0,322 8TH AVE NEWYORK NY 10001-6763,,LEAGUE OF OFF-BROADWAY THEATRES AND PRODUCERS INC,A65,34502.0,94572,NY,322 8TH AVE,Theater,10001-6763,10001.0,A65,,,League of Off-Broadway Theatres and Producers Inc.
58,58,12404,PO BOX 5005,NEW YORK,0,0,133781444,2404911,36061.0,,,WALNUT CREEK PROPERTIES INC,A23,5159867.0,5221329,NY,,Cultural & Ethnic Awareness,10163-5005,10163.0,A23,,,Walnut Creek Properties Inc.
59,59,12424,522 5TH AVE,NEW YORK,0,0,133801078,1279292,36061.0,522 5TH AVE NEW YORK NY 10036-7601,,MOONLITE FUNDING COMPANY,A60,0.0,1279292,NY,522 5TH AVE,Performing Arts,10036-7601,10036.0,A60,40.7546381,-73.9802609,Moonlite Funding Company
60,60,12451,915 BROADWAY STE 1400,NEW YORK,0,0,133835380,9594,36061.0,915 BROADWAY NEW YORK NY 10010-7176,,COMMITTEE OF FRENCH SPEAKING SOCIETIES INC,A23,2050.0,11867,NY,915 BROADWAY,Cultural & Ethnic Awareness,10010-7176,10010.0,A23,40.7397055,-73.98977430000001,Committee of French Speaking Societies Inc.
61,61,12469,136 30 MAPLE ST,FLUSHING,0,115475,133853865,104173,36081.0,136 30 MAPLE ST FLUSHING NY 11355-3865,,AMERICAN ASSOCIATION OF CHINESE PHYSICIANS,A23,0.0,115475,NY,136 30 MAPLE ST,Cultural & Ethnic Awareness,11355-3865,11355.0,A23,,,American Association of Chinese Physicians
62,62,12499,PO BOX 3165,NEW YORK,0,0,133873175,11067,36061.0,,,NETWORK OF INDIAN PROFESSIONALS INC,A23,25196.0,25196,NY,,Cultural & Ethnic Awareness,10163-3165,10163.0,A23,,,Network of Indian Professionals Inc.
63,63,12518,245 PARK AVE,NEW YORK,0,0,133893891,9453428,36061.0,245 PARK AVE NEW YORK NY 10167-0002,,SIXTH AVENUE ML COMPANY INC,A60,0.0,9453428,NY,245 PARK AVE,Performing Arts,10167-0002,10167.0,A60,40.7546124,-73.97467189558441,Sixth Avenue Ml Company Inc.
64,64,12593,1251 AVE OF THE AMERICAS 35TH FLR,NEW YORK,0,0,133975917,0,36061.0,1251 AVE OF THE AMERICAS NEW YORK NY 10020-1104,,CRYSTAL CREEK INVESTMENT GROUP INC,A23,18951.0,1973767,NY,1251 AVE OF THE AMERICAS,Cultural & Ethnic Awareness,10020-1104,10020.0,A23,40.7600411,-73.98189034217809,Crystal Creek Investment Group Inc.
65,65,12625,245 PARK AVE,NEW YORK,0,0,134005504,5049948,36061.0,245 PARK AVE NEW YORK NY 10167-0002,,RIDGEWAY FUNDING COMPANY INC,A60,0.0,5049948,NY,245 PARK AVE,Performing Arts,10167-0002,10167.0,A60,40.7546124,-73.97467189558441,Ridgeway Funding Company Inc.
66,66,12650,3 W 18TH ST,NEW YORK,0,0,134017838,33935,36061.0,3 W 18TH ST NEW YORK NY 10011-4610,,ASSOCIATION OF MUSIC PRODUCERS INC,A68,35585.0,35585,NY,3 W 18TH ST,Music,10011-4610,10011.0,A68,40.7389549,-73.9923463,Association of Music Producers Inc.
67,67,12817,1407 BROADWAY RM 1112,NEW YORK,0,0,134190455,53812,36061.0,1407 BROADWAY NEW YORK NY 10018-5111,,SIKH ORGANIZATION OF NY INC,A20,43543.0,43543,NY,1407 BROADWAY,Arts & Culture,10018-5111,10018.0,A20,40.753531,-73.9876248263453,Sikh Organization of NY Inc.
68,68,12819,501 W 42ND ST,NEW YORK,32410,0,134192352,558997,36061.0,501 W 42ND ST NEW YORK NY 10036-6205,,ARCHITECTURAL IRON REALTY CORP,A40,204700.0,204700,NY,501 W 42ND ST,Visual Arts,10036-6205,10036.0,A40,40.759908200000005,-73.9957292,Architectural Iron Realty Corp.
69,69,12827,332 BLEEKER ST E48,NEW YORK,0,3533,134198750,3853,36061.0,332 BLEEKER ST NEW YORK NY 10014-2980,,STUDIO 42 INC,A60,0.0,3916,NY,332 BLEEKER ST,Performing Arts,10014-2980,10014.0,A60,42.64477,-73.7527441,Studio 42 Inc.
70,70,12849,174 E 80TH ST,NEW YORK,29280,63210,134218359,89211,36061.0,174 E 80TH ST NEW YORK NY 10021-0439,,ASSOCIATION OF ART MUSEUM CURATORS,A50,23195.0,86615,NY,174 E 80TH ST,Museums,10021-0439,10021.0,A50,40.7710722,-73.9475897,Association of Art Museum Curators
71,71,13046,45 E 33RD ST,NEW YORK,0,0,135493557,109272,36061.0,45 E 33RD ST NEW YORK NY 10016-5336,,CEMETERY DEPT OF THE WORKMENS CIRCLE INC,A23,66548.0,122536,NY,45 E 33RD ST,Cultural & Ethnic Awareness,10016-5336,10016.0,A23,40.74689385,-73.98237420988809,Cemetery Dept of the Workmens Circle Inc.
72,72,13048,45 W 14TH ST,NEW YORK,0,0,135502139,72444,36061.0,45 W 14TH ST NEW YORK NY 10011-7419,,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,A40,67503.0,67503,NY,45 W 14TH ST,Visual Arts,10011-7419,10011.0,A40,40.737016,-73.9956108,International Union of Painters and Allied Trades
73,73,13095,45 E 33RD ST,NEW YORK,0,41910,135562400,57750,36061.0,45 E 33RD ST NEW YORK NY 10016-5336,,SOCIAL SERVICE DEPARTMENT OF THE WORKMENS CIRCLE,A23,12883.0,55799,NY,45 E 33RD ST,Cultural & Ethnic Awareness,10016-5336,10016.0,A23,40.74689385,-73.98237420988809,Social Service Department of the Workmens Circle
74,74,13135,307 W 30TH ST,NEW YORK,100096,0,135580391,296003,36061.0,307 W 30TH ST NEW YORK NY 10001-2703,,LITHUANIAN ALLIANCE OF AMERICA,A23,203079.0,203079,NY,307 W 30TH ST,Cultural & Ethnic Awareness,10001-2703,10001.0,A23,40.750036,-73.9958068,Lithuanian Alliance of America
75,75,13169,126 UNIVERSITY PL APT 5,NEW YORK,247780,368715,135606408,654867,36061.0,126 UNIVERSITY PL NEW YORK NY 10003-4571,,NATIONAL LAWYERS GUILD,A20,198724.0,652238,NY,126 UNIVERSITY PL,Arts & Culture,10003-4571,10003.0,A20,40.73491955,-73.9922924589038,National Lawyers Guild
76,76,13222,225 W 39TH ST RM 302,NEW YORK,0,0,135647466,21314,36061.0,225 W 39TH ST NEW YORK NY 10018-3148,,PLEATERS STITCHERS & EMBROIDERERS ASSN INC,A40,19927.0,25613,NY,225 W 39TH ST,Visual Arts,10018-3148,10018.0,A40,40.7546633,-73.98928690000001,Pleaters Stitchers & Embroiderers Assn Inc.
77,77,13226,355 LEXINGTON AVE FL 17,NEW YORK,0,0,135651681,44147,36061.0,355 LEXINGTON AVE NEW YORK NY 10017-6603,,COMICS MAGAZINE ASSOCIATION OF AMERICA INC,A01,37380.0,37380,NY,355 LEXINGTON AVE,Alliances & Advocacy,10017-6603,10017.0,A01,40.75015225,-73.976476608642,Comics Magazine Association of America Inc.
78,78,13311,400 LAFAYETTE ST 4TH FLR,NEW YORK,0,0,136092225,7245,36061.0,400 LAFAYETTE ST NEW YORK NY 10003-6900,,TEXTILE CONVERTERS LIQUIDATION BENEFIT FUND,A40,0.0,15648,NY,400 LAFAYETTE ST,Visual Arts,10003-6900,10003.0,A40,40.7280641,-73.9932516,Textile Converters Liquidation Benefit Fund
